team1,team2,city,date,toss_winner,first_batting,team1_player1_bat_rank,team1_player1_bowl_rank,team1_player2_bat_rank,team1_player2_bowl_rank,team1_player3_bat_rank,team1_player3_bowl_rank,team1_player4_bat_rank,team1_player4_bowl_rank,team1_player5_bat_rank,team1_player5_bowl_rank,team1_player6_bat_rank,team1_player6_bowl_rank,team1_player7_bat_rank,team1_player7_bowl_rank,team1_player8_bat_rank,team1_player8_bowl_rank,team1_player9_bat_rank,team1_player9_bowl_rank,team1_player10_bat_rank,team1_player10_bowl_rank,team1_player11_bat_rank,team1_player11_bowl_rank,team2_player1_bat_rank,team2_player1_bowl_rank,team2_player2_bat_rank,team2_player2_bowl_rank,team2_player3_bat_rank,team2_player3_bowl_rank,team2_player4_bat_rank,team2_player4_bowl_rank,team2_player5_bat_rank,team2_player5_bowl_rank,team2_player6_bat_rank,team2_player6_bowl_rank,team2_player7_bat_rank,team2_player7_bowl_rank,team2_player8_bat_rank,team2_player8_bowl_rank,team2_player9_bat_rank,team2_player9_bowl_rank,team2_player10_bat_rank,team2_player10_bowl_rank,team2_player11_bat_rank,team2_player11_bowl_rank,match_winner
India,Sri Lanka,Sharjah Cricket Association Stadium,25 April 1990,1,0,25,70,83,100,15,101,20,79,101,101,34,29,101,101,76,101,75,21,101,58,101,101,72,92,101,101,27,77,14,57,17,45,101,101,95,72,70,17,73,32,101,46,101,101,1
Australia,New Zealand,Sharjah Cricket Association Stadium,26 April 1990,1,0,10,101,42,101,1,101,14,101,19,41,12,50,40,13,65,101,61,18,101,14,101,4,29,101,13,65,7,101,45,101,32,83,59,101,62,53,101,101,70,9,101,101,101,35,0
India,Pakistan,Sharjah Cricket Association Stadium,27 April 1990,1,1,46,101,101,101,101,101,9,87,20,16,47,3,37,101,69,23,101,101,101,32,101,101,25,68,71,20,17,101,16,78,101,101,84,101,101,101,34,28,78,101,101,57,101,89,1
Bangladesh,New Zealand,Sharjah Cricket Association Stadium,28 April 1990,1,1,12,66,29,101,6,101,44,101,31,82,101,73,59,101,62,51,71,8,101,93,101,35,101,94,101,101,101,101,101,101,101,101,101,101,101,101,101,81,101,101,101,89,101,96,1
Pakistan,Sri Lanka,Sharjah Cricket Association Stadium,29 April 1990,1,0,45,101,101,101,8,86,101,101,31,101,20,16,101,101,101,55,101,23,101,75,101,101,69,93,101,101,27,78,15,57,49,101,18,46,70,32,94,73,74,18,101,48,101,101,0
Australia,Bangladesh,Sharjah Cricket Association Stadium,30 April 1990,1,1,101,91,101,101,101,101,101,101,101,101,101,96,93,101,101,101,101,101,101,101,101,90,40,13,60,101,1,101,55,17,101,1,42,101,10,101,14,101,13,50,19,40,101,52,0
New Zealand,Pakistan,Sharjah Cricket Association Stadium,1 May 1990,1,0,13,65,29,101,5,101,45,101,34,81,101,69,68,52,63,101,73,9,101,41,101,80,46,101,101,101,101,101,20,14,8,86,31,101,47,3,101,45,101,101,101,19,101,101,1
Australia,Sri Lanka,Sharjah Cricket Association Stadium,2 May 1990,1,0,42,101,10,101,1,98,35,12,13,101,12,50,19,36,60,101,56,13,101,16,101,4,51,101,65,90,101,101,15,55,18,46,73,18,69,32,101,49,101,57,101,101,27,74,0
Australia,Pakistan,Sharjah Cricket Association Stadium,4 May 1990,1,1,43,89,101,101,10,83,101,101,31,101,20,14,101,101,47,3,91,41,99,17,101,101,12,101,41,101,1,98,14,49,17,35,34,13,54,12,57,101,98,30,101,15,101,5,1
England,New Zealand,Leeds,23 May 1990,1,0,6,52,26,101,29,101,3,101,72,101,60,35,79,101,54,11,101,74,93,13,101,29,30,101,4,101,12,62,39,101,38,78,40,4,101,101,62,101,101,94,101,40,101,80,1
England,New Zealand,London,25 May 1990,1,1,31,101,4,101,14,62,26,101,39,79,40,4,101,86,58,101,101,71,101,40,101,85,3,55,27,101,30,101,6,101,72,101,68,101,101,74,55,12,93,14,101,29,101,101,0
England,India,Leeds,18 July 1990,1,0,3,54,101,101,27,101,4,101,32,101,68,101,54,12,101,73,101,28,101,50,101,70,83,98,16,101,60,101,100,101,14,77,37,24,101,101,70,17,76,101,101,52,101,57,1
England,India,Nottingham,20 July 1990,1,0,3,54,101,101,28,101,6,101,23,101,62,101,57,16,101,71,93,15,101,26,101,47,37,24,16,101,50,101,29,101,12,77,83,101,101,101,70,17,76,101,101,51,101,60,1
Pakistan,New Zealand,Lahore,2 November 1990,1,0,36,89,46,66,101,101,54,56,34,101,11,81,101,101,101,68,91,41,98,14,101,101,101,101,15,61,40,80,24,101,92,65,50,101,101,90,101,73,101,32,99,25,101,101,0
Pakistan,New Zealand,Peshawar,4 November 1990,1,1,101,101,15,61,40,80,29,101,95,64,101,101,52,101,101,92,101,75,101,34,97,26,101,101,31,89,101,101,35,101,11,82,54,56,101,101,101,62,89,40,99,7,101,71,0
Pakistan,New Zealand,Sialkot,6 November 1990,1,0,31,89,101,101,101,101,101,101,35,101,11,82,54,54,101,101,101,63,97,6,101,71,101,101,15,61,40,80,30,101,93,62,52,101,101,101,101,91,101,77,101,35,99,26,0
Pakistan,West Indies,Karachi,9 November 1990,1,0,31,88,101,101,101,101,12,81,101,101,21,16,101,101,101,63,89,34,97,5,101,101,2,101,51,101,9,101,28,101,101,101,32,41,39,101,47,6,77,2,90,9,81,7,0
Pakistan,West Indies,Lahore,11 November 1990,1,1,8,101,2,101,10,101,51,101,28,101,50,6,31,42,39,101,101,78,76,2,89,9,32,84,101,101,101,101,12,81,101,101,20,16,101,101,101,61,88,39,97,5,101,101,0
Pakistan,West Indies,Multan,13 November 1990,1,0,46,68,32,85,101,101,101,101,36,101,19,16,101,101,101,56,87,32,72,22,95,5,8,101,2,101,11,101,52,101,30,101,29,37,101,88,101,77,101,101,89,9,81,6,0
Australia,New Zealand,Sydney Cricket Ground,29 November 1990,1,0,14,101,9,101,1,97,13,48,69,101,18,36,34,10,54,13,56,101,101,12,101,28,33,101,7,101,15,61,31,101,40,78,49,101,101,101,101,101,101,63,101,1,98,26,0
England,New Zealand,Adelaide Oval,1 December 1990,1,1,33,101,7,101,17,63,39,78,101,101,48,101,101,101,101,83,101,58,101,32,99,23,27,101,101,1,24,101,5,101,94,101,63,101,101,70,95,14,101,27,101,42,101,55,1
