team1,team2,city,date,toss_winner,first_batting,team1_player1_bat_rank,team1_player1_bowl_rank,team1_player2_bat_rank,team1_player2_bowl_rank,team1_player3_bat_rank,team1_player3_bowl_rank,team1_player4_bat_rank,team1_player4_bowl_rank,team1_player5_bat_rank,team1_player5_bowl_rank,team1_player6_bat_rank,team1_player6_bowl_rank,team1_player7_bat_rank,team1_player7_bowl_rank,team1_player8_bat_rank,team1_player8_bowl_rank,team1_player9_bat_rank,team1_player9_bowl_rank,team1_player10_bat_rank,team1_player10_bowl_rank,team1_player11_bat_rank,team1_player11_bowl_rank,team2_player1_bat_rank,team2_player1_bowl_rank,team2_player2_bat_rank,team2_player2_bowl_rank,team2_player3_bat_rank,team2_player3_bowl_rank,team2_player4_bat_rank,team2_player4_bowl_rank,team2_player5_bat_rank,team2_player5_bowl_rank,team2_player6_bat_rank,team2_player6_bowl_rank,team2_player7_bat_rank,team2_player7_bowl_rank,team2_player8_bat_rank,team2_player8_bowl_rank,team2_player9_bat_rank,team2_player9_bowl_rank,team2_player10_bat_rank,team2_player10_bowl_rank,team2_player11_bat_rank,team2_player11_bowl_rank,match_winner
Sri Lanka,India,Colombo,26 July 1997,1,1,45,101,37,101,20,101,3,65,12,101,29,101,66,63,101,9,101,101,101,101,101,19,9,27,44,101,5,46,15,90,40,101,101,101,93,50,68,21,88,3,101,101,101,29,0
Sri Lanka,India,Colombo,17 August 1997,1,0,9,28,35,101,38,101,6,47,15,90,101,101,101,101,67,20,88,3,101,101,101,30,3,65,45,101,68,58,24,101,10,101,22,101,71,101,101,70,101,11,101,62,101,19,0
Sri Lanka,India,Colombo,20 August 1997,1,1,4,66,33,101,65,58,10,101,24,101,22,100,71,101,101,14,101,70,101,60,101,19,8,27,34,101,37,101,5,48,101,77,15,91,101,101,68,20,88,5,101,101,101,31,0
Sri Lanka,India,Colombo,24 August 1997,1,0,8,27,38,101,37,101,4,43,15,94,101,101,101,74,101,101,68,19,101,101,101,31,5,64,35,101,56,54,17,101,10,101,24,101,72,101,101,68,101,51,101,100,101,23,0
India,Pakistan,Skating and Curling Club,13 September 1997,1,0,6,66,35,101,17,101,10,101,24,101,55,53,101,101,101,70,101,46,101,101,101,101,12,101,101,101,21,101,101,101,40,40,101,101,52,101,101,101,101,3,101,101,101,101,0
India,Pakistan,Skating and Curling Club,14 September 1997,1,1,12,101,42,42,101,101,24,101,101,101,101,101,53,101,101,3,101,101,101,101,101,101,33,101,101,101,18,101,6,66,10,101,23,101,55,51,101,99,101,101,101,101,101,43,0
India,Pakistan,Skating and Curling Club,18 September 1997,1,0,36,77,101,101,20,101,7,66,10,101,22,101,51,51,101,40,101,101,101,101,101,81,12,101,33,43,101,101,24,101,101,101,101,101,55,101,101,4,101,93,101,101,101,94,0
India,Pakistan,Skating and Curling Club,20 September 1997,1,1,12,101,36,43,101,101,27,101,101,101,56,101,101,90,101,7,101,101,101,61,101,91,9,67,30,70,51,51,10,101,22,101,20,101,44,101,101,101,101,38,101,101,101,85,0
India,Pakistan,Skating and Curling Club,21 September 1997,1,0,9,69,23,67,45,101,10,101,21,101,52,51,20,101,101,101,101,35,101,101,101,86,32,43,24,101,101,101,101,101,101,101,101,101,55,101,101,68,101,8,101,101,101,59,1
Pakistan,India,Hyderabad,28 September 1997,1,1,9,69,25,65,52,46,10,101,18,101,21,101,101,101,101,72,101,35,101,86,101,95,12,101,31,42,23,101,101,101,101,101,101,101,55,101,101,68,101,3,101,18,101,101,0
Pakistan,India,Karachi,30 September 1997,1,0,12,101,24,41,25,101,101,101,101,101,55,101,101,101,101,65,101,4,101,16,101,101,9,71,17,62,43,101,10,101,23,101,50,44,101,101,101,64,101,36,101,101,101,79,1
Zimbabwe,New Zealand,Bulawayo,1 October 1997,1,0,101,101,25,83,49,101,33,101,71,52,46,101,68,101,55,27,101,22,101,48,101,90,75,101,14,32,77,101,30,101,35,39,101,101,31,101,52,18,101,101,90,7,101,101,2
Pakistan,India,Lahore,2 October 1997,1,1,9,71,19,62,50,49,11,101,45,101,23,101,101,101,101,64,101,37,101,77,101,101,17,101,25,41,69,101,12,101,101,101,101,101,56,101,101,51,101,4,101,16,101,101,0
Zimbabwe,New Zealand,Harare Sports Club,4 October 1997,1,1,76,101,14,29,75,101,31,101,36,39,101,101,32,101,50,18,101,101,89,7,101,94,101,101,28,85,34,101,72,53,43,101,47,101,69,101,55,19,101,25,101,49,101,73,0
Zimbabwe,New Zealand,Harare Sports Club,5 October 1997,1,1,14,29,35,36,30,101,75,101,101,101,50,18,80,101,32,101,101,101,89,8,101,101,29,84,34,101,68,54,45,101,55,19,49,101,71,101,101,101,101,46,101,85,101,73,1
Kenya,Bangladesh,Nairobi,10 October 1997,1,0,76,101,77,101,83,101,101,91,101,101,101,78,101,101,101,101,101,101,101,87,101,101,101,101,101,101,101,101,101,101,97,101,101,101,101,101,101,101,101,101,101,101,101,101,0
Bangladesh,Zimbabwe,Nairobi,11 October 1997,1,1,27,75,33,101,71,100,64,54,45,101,101,101,91,101,53,19,101,101,101,71,101,91,101,101,101,101,101,101,101,101,79,101,101,101,101,101,101,101,101,101,101,101,101,101,1
Kenya,Zimbabwe,Nairobi,12 October 1997,1,0,71,101,65,101,80,101,99,84,97,101,101,101,101,82,101,101,101,101,101,91,101,92,30,76,32,101,101,101,59,53,43,101,83,101,72,98,53,19,101,75,101,101,101,68,1
Bangladesh,Zimbabwe,Nairobi,14 October 1997,1,1,31,76,30,101,75,98,56,53,43,101,101,101,78,101,52,18,101,69,101,101,101,101,101,101,101,101,101,101,101,101,101,101,84,101,101,101,101,101,101,101,101,101,101,101,1
Kenya,Bangladesh,Nairobi,15 October 1997,1,1,101,101,101,101,101,101,101,101,93,101,101,101,101,101,101,101,101,101,101,101,101,101,74,101,60,101,86,101,101,101,98,83,96,101,101,101,101,75,101,101,101,77,101,101,0
Kenya,Zimbabwe,Nairobi,16 October 1997,1,0,77,101,60,101,95,101,101,101,101,85,99,101,101,101,101,101,101,72,101,77,101,101,31,80,29,101,101,1,56,51,43,101,76,101,74,99,52,18,101,64,101,69,101,101,1
Kenya,Zimbabwe,Nairobi,18 October 1997,1,1,30,79,28,101,101,1,56,49,43,101,76,101,75,100,51,18,101,60,101,65,101,101,80,101,60,101,92,101,79,85,101,101,101,101,101,101,101,101,101,76,101,74,101,101,1
Kenya,Zimbabwe,Nairobi,19 October 1997,1,1,27,77,30,101,79,101,59,46,42,101,78,101,71,101,50,18,101,61,101,56,101,101,93,101,60,101,86,101,80,79,92,101,101,101,101,101,101,101,101,74,101,101,101,101,1
Sri Lanka,West Indies,Lahore,1 November 1997,1,1,43,101,18,101,1,101,16,35,47,47,101,2,101,89,64,101,101,101,101,101,101,6,8,27,40,101,34,101,4,44,14,98,101,101,101,101,68,21,90,3,101,101,101,28,0
Pakistan,South Africa,Lahore,2 November 1997,1,1,38,101,3,101,69,59,6,101,7,41,19,101,57,5,71,101,83,24,101,11,101,8,14,101,27,42,101,101,20,101,101,101,53,101,77,7,101,50,101,101,101,4,101,16,1
South Africa,West Indies,Lahore,3 November 1997,1,1,42,101,55,101,1,101,15,33,17,101,47,51,101,101,101,2,101,101,101,101,101,8,39,101,3,101,69,58,7,101,6,43,18,101,56,5,71,101,83,26,101,11,101,7,0
Pakistan,West Indies,Lahore,4 November 1997,1,1,38,101,56,101,1,101,16,32,19,101,46,53,101,101,101,39,101,92,101,101,101,9,28,44,12,101,23,101,101,101,101,101,53,101,77,7,101,41,101,101,101,3,101,15,0
Pakistan,Sri Lanka,Lahore,5 November 1997,1,0,27,43,12,101,101,101,18,101,101,101,79,9,53,101,101,39,101,101,101,16,101,4,5,29,40,101,36,101,4,44,14,99,101,101,101,101,68,21,90,3,101,101,101,26,1
South Africa,Sri Lanka,Lahore,6 November 1997,1,0,42,101,3,101,63,41,8,101,7,43,17,101,55,4,72,101,77,28,101,11,101,82,40,101,101,101,37,101,4,47,101,101,14,101,101,101,61,20,101,75,101,101,101,26,0
South Africa,Sri Lanka,Lahore,8 November 1997,1,1,6,30,40,101,36,101,4,46,14,101,101,101,101,101,59,21,86,5,101,101,101,26,42,101,3,101,48,39,76,28,8,101,7,43,19,101,54,3,72,101,101,11,101,6,0
Australia,South Africa,Sydney Cricket Ground,4 December 1997,1,1,3,101,42,100,49,40,8,101,7,42,19,101,55,3,57,36,71,101,72,21,101,6,95,101,5,55,67,99,25,59,2,68,68,101,101,101,83,20,82,14,101,66,101,13,1
New Zealand,South Africa,Adelaide Oval,6 December 1997,1,0,76,101,16,26,31,31,32,101,63,101,68,101,47,18,33,101,101,101,89,7,101,99,3,101,43,101,49,41,8,101,7,44,23,101,52,2,61,36,73,21,71,101,101,5,0
Australia,New Zealand,Adelaide Oval,7 December 1997,1,1,73,101,15,26,30,101,57,101,32,34,34,101,64,101,47,16,90,7,101,101,101,101,4,55,68,101,69,101,70,101,101,101,26,60,2,68,84,12,101,58,101,59,101,14,0
Australia,South Africa,Melbourne Cricket Ground,9 December 1997,1,1,4,101,82,101,49,36,7,46,42,101,21,101,52,3,62,35,72,101,75,20,101,6,69,101,3,54,28,59,48,101,2,68,63,101,101,75,101,101,92,19,89,13,101,63,1
New Zealand,South Africa,Hobart,11 December 1997,1,1,5,101,83,101,48,35,74,19,8,46,40,101,23,101,50,2,64,37,71,101,101,6,75,101,17,26,32,30,29,101,57,101,68,101,34,101,45,16,101,101,90,7,101,101,1
England,India,Sharjah Cricket Association Stadium,11 December 1997,1,0,86,101,16,101,43,101,13,83,78,90,101,82,10,101,101,101,101,101,101,41,101,101,101,101,21,64,47,101,7,72,12,101,22,101,52,47,101,18,101,58,101,22,101,36,0
Pakistan,West Indies,Sharjah Cricket Association Stadium,12 December 1997,1,1,101,101,32,101,1,101,15,33,44,47,18,101,101,95,101,101,101,101,101,101,101,6,101,101,25,42,12,101,20,101,101,101,101,101,81,9,54,101,101,40,101,4,101,16,1
England,West Indies,Sharjah Cricket Association Stadium,13 December 1997,1,1,101,101,32,101,1,101,13,31,22,101,43,50,101,101,101,101,101,83,101,101,101,6,88,101,16,101,48,101,14,87,10,101,79,91,101,71,101,101,101,101,101,41,101,101,0
India,Pakistan,Sharjah Cricket Association Stadium,14 December 1997,1,0,101,101,16,61,43,101,53,50,7,74,12,101,24,101,101,16,101,22,101,37,101,55,11,101,25,44,21,101,101,101,101,101,101,101,54,101,79,9,101,39,101,4,101,101,1
England,Pakistan,Sharjah Cricket Association Stadium,15 December 1997,1,0,74,101,17,101,49,101,14,88,11,101,78,81,101,68,101,101,101,101,101,38,101,96,101,101,26,43,10,101,19,101,101,101,101,94,54,101,83,9,101,39,101,4,101,34,0
India,West Indies,Sharjah Cricket Association Stadium,16 December 1997,1,1,101,101,19,101,1,101,13,26,24,95,44,49,101,87,101,101,101,101,101,101,101,8,12,57,43,101,23,101,10,72,14,101,25,101,100,101,101,19,101,22,101,42,101,27,1
Australia,New Zealand,Melbourne Cricket Ground,17 December 1997,1,1,78,101,18,26,33,23,32,101,60,101,68,101,38,101,43,15,101,101,93,7,101,101,69,101,3,57,41,101,29,62,2,61,59,101,101,101,89,12,101,45,101,101,101,55,0
England,West Indies,Sharjah Cricket Association Stadium,19 December 1997,1,1,18,101,20,96,1,101,14,22,45,53,68,101,101,101,101,75,101,101,101,8,101,101,75,101,17,101,50,101,16,89,11,101,76,79,101,58,101,91,101,101,101,37,101,101,0
India,Sri Lanka,Guwahati,22 December 1997,1,1,6,31,40,101,34,101,5,45,17,101,64,101,58,22,101,75,84,5,101,101,101,29,14,58,25,101,45,101,7,72,12,101,53,41,74,101,101,101,101,21,101,44,101,77,0
India,Sri Lanka,Fatorda,28 December 1997,1,0,25,101,12,60,7,78,13,101,45,101,52,42,73,101,101,101,101,21,101,46,101,69,6,31,44,101,34,101,4,44,17,101,65,101,58,22,101,101,83,5,101,101,101,27,1
India,Sri Lanka,Fatorda,28 December 1997,1,0,25,101,12,60,7,78,13,101,45,101,52,42,73,101,101,101,101,21,101,46,101,69,6,31,44,101,34,101,4,44,17,101,65,101,58,22,101,101,83,5,101,101,101,27,1
India,Sri Lanka,Guwahati,22 December 1997,1,1,6,31,40,101,34,101,5,45,17,101,64,101,58,22,101,75,84,5,101,101,101,29,14,58,25,101,45,101,7,72,12,101,53,41,74,101,101,101,101,21,101,44,101,77,0
New Zealand,South Africa,Woolloongabba,9 January 1998,1,1,4,101,47,33,39,96,7,47,89,101,23,101,48,2,70,20,63,37,69,101,101,6,84,101,19,29,73,101,33,101,62,101,44,14,31,27,35,101,101,48,101,101,101,101,1
Bangladesh,India,Dhaka,10 January 1998,1,0,101,101,101,101,101,101,77,101,98,101,101,101,101,101,101,101,101,101,101,101,101,101,14,57,47,101,12,101,8,78,27,101,52,45,101,101,74,101,101,101,101,19,101,63,1
India,Pakistan,Dhaka,11 January 1998,1,0,16,59,8,74,12,101,46,101,27,101,53,41,101,101,74,101,101,17,101,83,101,62,29,43,21,101,101,101,11,101,101,101,101,101,101,40,101,101,101,2,101,101,101,101,0
Australia,South Africa,Woolloongabba,11 January 1998,1,0,4,54,38,90,40,101,101,101,32,58,2,64,59,101,91,21,89,13,101,52,101,85,3,101,47,35,72,19,37,89,7,49,94,101,23,101,48,3,63,37,69,101,101,5,1
Bangladesh,Pakistan,Dhaka,12 January 1998,1,0,101,101,101,101,101,101,80,101,101,1,101,101,101,101,101,101,101,101,101,101,101,101,10,101,32,41,101,101,21,101,101,101,101,101,101,39,101,101,101,3,101,32,101,101,1
India,Pakistan,Dhaka,14 January 1998,1,1,10,101,32,42,101,101,22,101,101,101,101,41,101,101,101,101,101,4,101,33,101,101,14,61,6,71,12,101,27,101,46,101,53,39,101,101,74,101,101,17,101,58,101,82,0
Australia,New Zealand,Sydney Cricket Ground,14 January 1998,1,0,101,101,39,92,101,99,35,101,101,101,2,64,58,101,101,70,90,21,89,10,101,80,87,101,55,101,73,101,33,101,63,101,31,27,45,14,36,101,101,50,101,101,101,94,0
India,Pakistan,Dhaka,16 January 1998,1,0,14,60,6,70,10,101,46,101,28,101,53,36,75,101,101,101,101,17,101,84,101,61,9,101,33,40,101,101,21,101,101,101,101,72,101,41,101,101,101,4,101,101,101,101,1
New Zealand,South Africa,Perth,16 January 1998,1,1,3,101,48,37,23,77,11,101,99,101,8,48,24,101,47,2,70,18,101,101,101,101,54,101,85,101,32,101,65,101,20,29,34,27,45,14,38,101,101,51,101,101,101,88,1
India,Pakistan,Dhaka,18 January 1998,1,1,8,101,35,40,101,101,19,101,101,41,101,63,101,101,101,101,101,5,101,101,101,101,13,60,6,72,48,38,12,101,29,101,47,101,101,101,76,101,101,18,101,70,101,101,0
Australia,South Africa,Perth,18 January 1998,1,0,40,95,101,101,36,101,101,101,33,59,3,64,61,101,101,101,101,101,101,52,101,84,2,101,49,33,23,81,10,101,9,49,24,101,46,2,69,101,70,16,62,36,101,3,1
Australia,New Zealand,Melbourne Cricket Ground,21 January 1998,1,0,101,70,5,56,27,101,95,101,33,59,101,101,3,67,61,101,90,22,89,13,101,61,88,101,23,29,55,101,26,101,37,101,62,101,36,26,45,14,101,52,101,101,101,92,1
Sri Lanka,Zimbabwe,Colombo,22 January 1998,1,1,28,80,32,101,101,101,54,44,42,101,73,101,52,14,81,101,83,13,101,43,101,54,7,31,41,101,34,101,5,45,15,101,65,101,101,64,58,18,101,101,101,62,82,6,0
Australia,South Africa,Melbourne Cricket Ground,23 January 1998,1,1,10,101,2,101,50,34,22,82,9,49,27,101,45,2,70,17,65,36,69,101,101,3,5,53,61,101,24,101,82,101,30,60,3,72,101,66,101,101,92,22,90,11,101,71,1
Sri Lanka,Zimbabwe,Colombo,24 January 1998,1,1,25,78,35,101,100,101,56,45,44,101,73,101,53,12,86,15,101,43,101,47,101,101,6,31,40,101,33,101,5,44,15,101,64,101,101,101,101,59,58,17,101,101,101,57,0
Australia,South Africa,Sydney Cricket Ground,26 January 1998,1,1,13,101,3,101,50,31,25,82,8,53,23,101,45,2,70,18,68,101,64,37,101,4,48,101,5,48,24,101,101,101,75,101,30,64,2,72,101,63,92,19,90,11,101,57,0
Sri Lanka,Zimbabwe,Colombo,26 January 1998,1,1,22,73,73,101,93,101,33,101,57,44,44,101,53,13,83,17,101,43,101,101,101,47,4,33,101,101,101,101,101,101,97,49,65,101,59,15,101,60,101,101,101,27,101,59,0
Australia,South Africa,Sydney Cricket Ground,27 January 1998,1,0,6,48,51,101,19,101,74,101,29,64,2,72,101,57,101,101,91,16,90,11,101,61,3,101,101,101,26,83,9,53,24,101,44,2,47,31,69,18,65,34,70,101,101,94,0
New Zealand,Zimbabwe,Hamilton,4 February 1998,1,0,101,101,24,28,37,101,28,101,63,101,35,24,42,14,101,48,101,79,101,88,101,84,23,73,69,101,98,101,31,101,58,44,46,101,54,11,80,19,101,47,101,39,101,101,0
New Zealand,Zimbabwe,Wellington,6 February 1998,1,1,25,76,69,101,101,1,33,101,46,101,57,44,101,101,55,14,80,17,101,50,101,42,101,101,20,28,37,101,26,101,63,101,35,22,42,11,101,43,101,90,101,61,101,64,0
New Zealand,Australia,Christchurch,8 February 1998,1,0,101,101,22,30,37,101,28,101,65,101,36,23,43,14,101,43,101,64,101,85,101,67,38,101,5,47,101,49,19,101,72,101,2,73,42,95,29,55,101,101,101,53,101,61,1
New Zealand,Australia,Wellington,10 February 1998,1,1,5,50,41,101,19,101,65,101,2,66,28,51,42,96,100,47,101,101,101,49,101,56,101,101,23,30,34,23,30,101,39,101,66,101,43,15,101,42,101,85,101,62,101,58,1
New Zealand,Australia,Napier,12 February 1998,1,1,39,101,5,52,22,101,64,101,101,46,29,55,2,67,44,96,101,48,101,101,101,65,101,101,21,31,40,101,26,101,62,101,35,22,42,17,101,43,101,74,101,61,101,58,0
New Zealand,Australia,Auckland,14 February 1998,1,0,101,101,22,34,41,101,28,101,63,101,36,22,40,16,101,43,101,101,101,44,101,62,37,101,6,54,23,101,62,101,29,56,46,98,2,65,101,46,101,83,101,55,101,67,0
New Zealand,Zimbabwe,Christchurch,4 March 1998,1,1,27,69,67,101,77,101,46,101,33,101,54,46,55,11,101,101,82,20,101,56,101,42,73,101,19,35,29,101,80,101,64,101,36,23,42,16,40,101,101,44,101,63,101,54,1
New Zealand,Zimbabwe,Napier,6 March 1998,1,1,29,68,68,101,81,101,47,101,33,101,56,48,101,101,82,21,54,14,101,58,101,43,62,101,14,36,27,101,79,101,65,101,36,23,40,101,42,12,101,35,101,62,101,51,0
New Zealand,Zimbabwe,Auckland,8 March 1998,1,0,63,101,14,37,28,101,81,101,67,101,37,21,40,15,42,101,101,35,101,44,101,45,27,64,68,101,77,101,34,101,47,101,55,50,101,101,87,23,53,12,101,60,101,38,0
Zimbabwe,Pakistan,Harare Sports Club,28 March 1998,1,0,26,66,46,101,72,101,35,101,54,44,79,23,74,100,53,13,101,101,101,40,101,101,101,101,101,101,73,101,20,101,101,101,34,41,101,37,83,10,101,101,101,101,101,22,1
Zimbabwe,Pakistan,Harare Sports Club,29 March 1998,1,0,25,67,48,101,66,101,35,101,53,43,78,21,70,101,75,97,54,15,101,101,101,101,9,101,34,41,69,101,20,101,101,101,56,101,101,37,101,64,101,101,83,11,101,20,1
West Indies,England,Bridgetown,29 March 1998,1,1,36,101,16,101,18,94,14,101,73,82,101,59,101,96,101,101,101,101,101,29,101,95,101,101,101,101,1,101,15,24,22,101,46,54,68,101,101,101,101,80,101,5,101,7,1
India,Australia,Kochi,1 April 1998,1,0,50,101,7,61,10,101,52,101,27,101,101,101,77,101,101,101,101,23,101,17,101,71,6,58,34,101,25,101,2,67,29,59,67,101,101,49,101,101,95,13,101,97,101,42,0
West Indies,England,Bridgetown,1 April 1998,1,1,31,101,18,101,101,101,19,96,89,101,74,81,100,57,101,101,101,86,101,29,101,99,101,101,101,101,1,101,16,101,14,24,46,51,101,101,101,89,101,80,101,5,101,7,0
Australia,Zimbabwe,Motera,3 April 1998,1,0,36,101,6,58,26,101,2,67,27,59,68,101,101,45,93,12,101,86,101,32,101,56,24,68,44,101,59,101,37,101,53,43,79,18,69,101,76,91,101,101,101,40,101,101,0
South Africa,Pakistan,Durban,3 April 1998,1,0,3,101,89,101,15,101,8,50,18,83,21,101,49,24,101,101,101,101,71,17,101,101,9,101,35,42,101,101,70,101,22,101,101,101,56,101,101,38,83,9,101,101,101,23,0
West Indies,England,Kingstown,4 April 1998,1,1,32,101,18,101,101,101,20,98,101,101,73,83,89,58,101,81,101,101,101,26,101,31,101,101,101,101,1,101,11,24,19,101,63,90,47,48,101,101,101,87,101,3,101,101,0
India,Zimbabwe,Vadodara,5 April 1998,1,0,10,66,7,62,11,101,52,101,25,101,101,101,79,101,101,101,101,18,101,31,101,101,22,69,42,101,62,101,74,89,37,101,53,46,80,16,70,101,101,41,101,101,101,101,0
South Africa,Sri Lanka,Johannesburg,5 April 1998,1,0,77,101,4,101,47,25,15,101,8,49,18,87,17,101,101,85,101,101,101,101,101,90,3,36,44,101,33,101,5,47,65,101,16,101,57,15,101,55,88,6,101,101,101,101,0
West Indies,England,Kingstown,5 April 1998,1,1,34,101,19,101,101,101,20,101,71,77,101,101,89,60,101,101,101,73,101,26,101,30,76,101,101,101,21,101,48,43,1,101,13,24,101,101,61,93,101,78,101,99,101,101,0
India,Australia,Kanpur,7 April 1998,1,1,7,58,36,101,22,101,2,67,68,101,30,62,100,46,97,14,101,89,101,86,101,33,9,66,5,64,13,101,52,101,27,101,101,101,78,101,101,18,101,101,101,31,101,97,0
Pakistan,Sri Lanka,Kimberley Country Club,7 April 1998,1,1,3,39,61,101,6,48,16,101,35,101,101,101,101,57,57,11,89,6,101,61,101,101,10,101,101,101,23,101,101,101,56,101,101,60,101,38,83,8,101,101,101,101,101,24,0
West Indies,England,Port of Spain,8 April 1998,1,0,57,101,101,101,21,101,1,101,11,23,101,101,101,101,28,101,101,101,101,101,101,101,31,101,20,101,101,101,24,101,91,101,77,81,84,62,101,101,101,75,101,26,101,28,0
India,Zimbabwe,Cuttack,9 April 1998,1,0,11,60,6,65,101,101,9,101,22,101,101,91,78,101,101,98,101,32,101,67,101,101,19,69,43,101,58,101,39,101,53,50,79,16,54,15,74,90,101,101,101,97,101,101,0
Pakistan,Sri Lanka,Paarl,9 April 1998,1,0,10,101,34,42,20,101,101,101,101,101,101,31,101,101,82,7,101,101,101,61,101,24,4,39,63,101,36,101,5,46,16,101,101,101,59,14,101,57,101,101,101,64,101,30,0
Australia,Zimbabwe,Delhi,11 April 1998,1,0,38,101,6,59,14,101,2,68,101,101,30,58,70,101,99,14,101,93,101,30,101,72,17,69,45,101,55,101,36,101,77,90,53,51,78,16,57,15,101,36,101,91,101,101,0
South Africa,Pakistan,East London,11 April 1998,1,1,10,101,101,26,24,101,101,101,101,101,79,7,56,101,101,101,94,63,101,101,101,23,67,101,21,89,101,101,16,101,43,2,8,40,19,101,101,79,46,25,101,101,101,87,0
South Africa,Sri Lanka,St George's Park,13 April 1998,1,0,66,101,3,101,74,22,97,101,9,41,19,101,43,2,26,87,101,101,46,25,101,78,4,40,64,101,38,101,7,48,15,101,34,101,59,12,101,55,101,101,91,6,101,101,1
India,Australia,Delhi,14 April 1998,1,0,11,61,7,59,8,101,50,101,19,101,101,94,101,95,80,101,101,15,101,34,101,100,6,63,40,101,14,101,2,69,97,14,29,58,101,44,69,101,101,101,101,26,101,67,1
Pakistan,Sri Lanka,Benoni,15 April 1998,1,1,4,42,62,101,32,101,7,49,12,101,101,101,35,101,101,101,59,14,91,6,101,101,9,101,38,46,25,101,101,101,101,101,101,101,101,25,78,8,101,101,101,24,101,39,1
South Africa,Pakistan,Centurion Park,17 April 1998,1,1,11,101,101,25,71,101,26,101,101,101,57,101,78,7,101,101,101,101,101,101,101,37,68,101,3,101,17,89,19,101,10,40,20,101,101,4,101,101,46,23,101,83,101,66,0
India,New Zealand,Sharjah Cricket Association Stadium,17 April 1998,1,0,6,60,7,63,9,101,50,101,21,101,101,94,101,70,81,101,101,14,101,36,101,101,67,101,14,39,38,22,25,101,87,101,64,101,39,15,42,101,101,31,101,101,101,49,0
Australia,New Zealand,Sharjah Cricket Association Stadium,18 April 1998,1,1,69,101,16,40,39,25,24,101,87,101,66,101,40,13,44,101,101,31,101,101,101,56,35,101,8,57,12,101,2,71,30,59,67,101,101,43,96,12,101,85,101,67,101,18,0
South Africa,Sri Lanka,Bloemfontein,19 April 1998,1,1,5,43,59,101,33,101,9,49,14,101,36,101,63,14,101,57,91,7,101,101,101,101,3,101,101,101,15,80,19,101,101,101,20,101,40,2,8,39,74,22,101,67,101,3,0
Australia,India,Sharjah Cricket Association Stadium,19 April 1998,1,0,7,58,35,101,12,101,94,41,2,73,30,52,67,101,101,101,95,12,101,62,101,17,6,65,4,61,10,101,50,101,24,101,98,92,81,101,101,15,101,84,101,36,101,101,0
India,New Zealand,Sharjah Cricket Association Stadium,20 April 1998,1,0,4,60,6,64,12,101,25,101,101,101,80,101,95,95,101,14,101,87,101,34,101,94,91,101,17,36,23,101,59,101,41,19,44,101,39,12,101,101,101,50,101,101,101,61,1
Australia,New Zealand,Sharjah Cricket Association Stadium,21 April 1998,1,1,72,101,16,37,24,101,55,101,39,19,44,101,40,14,101,28,101,49,101,101,101,101,67,101,101,101,30,55,86,41,2,73,6,58,35,101,101,101,96,13,101,78,101,48,0
Australia,India,Sharjah Cricket Association Stadium,22 April 1998,1,0,35,101,6,60,12,101,101,101,2,75,31,56,67,101,85,36,95,15,101,61,101,13,9,66,3,58,77,101,13,101,28,101,101,101,86,93,101,12,101,82,101,34,101,98,0
South Africa,Pakistan,Cape Town,23 April 1998,1,1,10,101,71,101,28,101,101,101,55,101,79,6,101,26,101,101,101,101,101,27,101,41,68,101,4,101,13,80,19,101,7,36,20,101,41,2,101,101,46,18,101,4,101,59,0
Australia,India,Sharjah Cricket Association Stadium,24 April 1998,1,0,6,61,33,101,17,101,88,38,2,77,30,56,60,101,101,101,95,17,101,54,101,11,10,67,3,63,76,101,12,101,26,101,85,90,101,101,101,69,101,13,101,28,101,95,1
India,Bangladesh,Mohali,14 May 1998,1,1,101,101,101,101,101,101,70,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,13,67,101,101,11,101,25,101,36,101,50,42,83,84,101,101,101,70,101,68,101,94,0
Bangladesh,Kenya,Hyderabad,17 May 1998,1,1,87,101,67,101,91,101,85,91,86,101,101,101,101,101,101,101,101,80,101,84,101,101,101,101,101,101,101,101,70,101,96,101,101,101,101,101,101,101,101,101,101,101,101,101,0
India,Kenya,Bangalore,20 May 1998,1,1,84,101,67,101,73,101,81,91,86,101,101,101,101,101,101,101,101,72,101,71,101,101,101,101,17,69,35,101,25,101,88,78,101,101,50,41,101,101,101,66,101,92,101,68,0
England,South Africa,London,21 May 1998,1,0,27,101,22,101,101,101,101,101,101,101,70,91,88,58,101,32,101,101,101,28,101,10,4,101,101,101,10,83,20,101,7,35,19,101,42,2,46,18,101,101,76,23,101,4,1
Bangladesh,Kenya,Chepauk,23 May 1998,1,1,68,101,101,101,71,101,77,89,88,101,101,101,101,101,101,101,101,65,101,67,101,101,101,101,101,101,101,101,72,101,94,101,101,101,101,101,101,101,101,101,101,101,101,101,1
England,South Africa,Manchester,23 May 1998,1,1,101,101,4,101,11,83,21,101,7,34,18,101,45,2,38,19,101,101,78,21,101,4,25,101,82,101,20,101,101,101,101,101,65,91,87,51,101,81,101,101,101,27,101,7,1
England,South Africa,Leeds,24 May 1998,1,1,5,101,101,101,15,85,24,101,7,35,20,101,38,3,39,23,101,101,79,27,101,4,22,101,57,101,101,72,19,101,101,101,101,101,66,92,87,43,101,24,101,9,101,21,0
